run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31821193	249529977	845441	24-036413-003	2024	USA	CATTLE	SAMN45953274	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821194	329602049	1116002	24-036413-002	2024	USA	CATTLE	SAMN45953273	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821195	87637846	295811	24-036412-001	2024	USA	CATTLE	SAMN45953272	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821196	322922007	1097633	24-036411-004	2024	USA	CATTLE	SAMN45953271	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821197	358458447	1222622	24-036411-003	2024	USA	CATTLE	SAMN45953270	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821198	180973694	612428	24-036411-002	2024	USA	CATTLE	SAMN45953269	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821199	169770272	577739	24-036411-001	2024	USA	CATTLE	SAMN45953268	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821200	234406572	794170	24-036409-001	2024	USA	CATTLE	SAMN45953267	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821201	160917426	543644	24-036408-001	2024	USA	CATTLE	SAMN45953266	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821202	163181332	550740	24-036407-001	2024	USA	CATTLE	SAMN45953265	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821203	475113859	1627652	24-036350-001	2024	USA	CATTLE	SAMN45953184	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821204	99454987	336546	24-036405-004	2024	USA	CATTLE	SAMN45953264	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821205	127676647	431865	24-036405-003	2024	USA	CATTLE	SAMN45953263	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821206	208056213	705560	24-036405-002	2024	USA	CATTLE	SAMN45953262	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
